ResponseId,James,John,Robert,Michael,William,David,Richard,Joseph,Thomas,Charles,Casey,Riley,Jessie,Jackie,Avery,Jaime,Peyton,Kerry,Jody,Kendall,Mary,Patricia,Jennifer,Linda,Elizabeth,Barbara,Susan,Jessica,Sarah,Karen,Christopher,Daniel,Matthew,Anthony,Donald,Mark,Paul,Steven,Andrew,Kenneth,Skyler,Frankie,Pat,Quinn,Harley,Reese,Robbie,Tommie,Justice,Kris,Nancy,Margaret,Lisa,Betty,Dorothy,Sandra,Ashley,Kimberly,Donna,Emily,Joshua,George,Kevin,Brian,Edward,Ronald,Timothy,Jason,Jeffery,Ryan,Carey,Emerson,Blair,Amari,Elisha,Sage,Emery,Stevie,Rowan,Ollie,Taylor,Chris,Michelle,Carol,Amanda,Melissa,Deborah,Stephanie,Rebecca,Laura,Sharon,Cynthia,gender,age,race,english,education
R_ZmCRh2KQHVqPz0J,1,1,1,2,2,1,1,1,2,1,4,3,5,5,7,5,3,5,6,5,6,6,7,5,7,6,6,7,7,6,2,1,1,1,1,1,1,1,1,1,3,3,3,2,3,2,2,2,4,3,6,6,7,6,6,6,7,7,5,7,2,1,1,1,1,1,1,2,1,1,5,2,4,3,7,5,3,2,2,2,3,3,6,6,7,7,6,6,7,7,6,7,male,25 - 34,White,Yes,4 year degree
R_Rh15vZt9Jr8KeA1,2,1,1,1,1,1,1,1,1,1,5,6,4,5,5,5,5,4,6,5,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,3,2,3,3,5,7,3,3,5,4,7,7,7,7,7,7,6,7,7,7,1,1,1,1,1,1,1,1,1,1,6,2,1,5,7,3,2,2,3,1,5,1,7,7,7,7,7,7,7,7,7,7,female,45 - 54,White,Yes,Professional degree
R_3dNe9PudoLSuRwj,1,1,1,1,1,1,1,1,1,1,5,7,4,7,1,4,4,5,4,6,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,3,3,4,1,2,4,1,1,6,1,7,7,7,7,7,7,6,7,7,7,1,1,1,1,1,1,1,1,1,1,3,1,6,6,1,5,1,5,1,1,5,1,7,7,7,7,7,7,7,7,7,7,female,35 - 44,White,Yes,High school graduate
R_2pLad1muFGYSLfU,1,1,1,1,1,1,1,1,1,1,6,7,5,5,3,6,2,5,7,2,7,6,7,7,7,7,6,7,7,7,1,3,1,1,1,1,1,1,1,1,6,1,4,2,6,6,2,1,4,3,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,5,3,4,5,7,6,7,1,2,6,1,1,7,7,7,7,7,7,7,7,7,7,male,25 - 34,White,Yes,High school graduate
R_2P1BCwqNg6sGC4w,1,1,1,1,1,1,1,1,1,1,4,4,4,4,6,4,1,4,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,7,1,1,4,4,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,4,3,7,4,7,4,4,4,4,1,4,1,7,7,7,7,7,7,7,7,7,7,female,25 - 34,White,Yes,High school graduate
R_2QlJc5UZEQ57P6c,1,1,1,1,1,1,1,1,1,1,4,3,3,6,3,3,4,4,4,4,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,5,1,4,3,4,5,1,7,2,4,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,5,1,5,4,2,5,3,2,1,2,4,3,7,7,7,7,7,7,7,7,7,7,female,45 - 54,White,Yes,4 year degree
R_2E3Jo928HyK4PTL,1,1,1,1,1,1,1,1,1,1,2,7,1,5,7,4,7,3,7,6,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,7,3,7,5,1,2,2,1,4,5,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,4,7,4,6,7,4,5,5,1,5,1,7,7,7,7,7,7,7,7,7,7,female,18 - 24,White,Yes,Some college
R_3JJZVP4fLCCIp0S,2,2,2,2,2,2,2,2,2,2,4,4,5,4,2,3,2,3,5,3,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,2,2,5,2,2,6,5,4,3,3,4,5,6,6,6,6,6,6,6,6,6,6,3,2,2,2,2,2,2,2,3,2,3,3,5,5,6,4,3,3,3,4,4,2,6,6,6,6,6,6,6,6,6,6,male,25 - 34,White&Black or African American&American Indian or Alaska Native,Yes,4 year degree
R_3QPETOAUv0I9FQ1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,7,4,5,4,5,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,7,4,4,4,4,4,1,4,4,4,7,7,7,7,7,7,6,7,7,7,1,1,1,1,1,1,1,1,1,3,5,5,6,4,5,4,6,4,5,2,5,2,7,7,7,7,7,7,7,7,7,7,N/A,35 - 44,White,Yes,2 year degree
R_RfBzSNz1RxtiDg5,1,1,1,2,1,1,1,1,1,1,6,3,1,3,6,2,1,1,5,5,7,6,7,6,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,3,1,3,4,1,2,1,1,1,2,7,6,7,6,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,2,2,5,5,4,3,4,1,1,1,4,1,7,7,7,7,7,7,6,7,7,6,female,35 - 44,Asian,Yes,Some college
R_1rNuDWNm1E36sWs,2,2,3,2,2,2,2,2,3,2,4,5,5,6,1,6,3,6,5,5,6,6,6,5,6,6,6,6,5,5,2,2,2,2,2,2,2,2,2,2,6,2,3,3,5,5,2,2,6,6,6,5,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,3,2,2,3,2,5,3,6,2,2,5,2,5,5,2,5,6,6,6,6,5,6,6,6,5,N/A,25 - 34,White,Yes,4 year degree
R_1nSBAJPiMcTSV9q,1,1,1,2,1,1,1,1,1,1,3,7,4,7,5,3,3,5,7,5,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,2,5,1,6,7,5,2,2,3,6,3,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,2,1,1,1,5,4,6,4,7,4,6,5,6,4,7,1,7,7,7,7,7,7,7,7,7,7,male,18 - 24,White,Yes,High school graduate
R_2abN4dTz0xjNEWs,2,2,1,2,2,1,1,2,2,2,4,3,5,4,2,4,3,3,6,3,6,7,7,7,7,7,7,7,7,7,1,4,1,1,1,1,1,1,2,1,3,3,4,3,4,2,1,4,3,5,7,7,7,7,7,7,7,7,7,7,1,1,2,2,1,1,1,1,1,4,6,2,3,5,7,6,6,5,2,1,4,1,6,6,7,6,6,7,7,7,6,6,male,25 - 34,Black or African American,Yes,Some college
R_1gd1BgImzFXfpPo,1,1,1,1,1,1,1,1,1,1,4,4,4,4,5,4,5,6,4,4,7,6,7,6,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,5,4,4,3,6,5,3,3,3,5,7,7,7,7,7,7,6,7,7,7,1,1,1,1,1,1,1,1,1,1,6,2,6,4,7,6,4,4,4,2,6,2,7,7,7,7,7,7,7,7,7,7,N/A,35 - 44,Asian,Yes,4 year degree
R_1ojyiLpMAKa3fWi,1,1,1,1,1,1,1,1,1,1,2,4,4,4,2,2,2,4,6,2,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,3,4,4,4,5,3,2,5,6,4,7,7,7,7,7,7,6,6,6,7,1,1,1,1,1,1,1,1,1,1,4,2,7,4,7,4,4,4,1,4,4,4,7,7,7,7,7,7,7,7,7,7,female,35 - 44,White&American Indian or Alaska Native,Yes,Some college
R_tWfjgSKMoGobj0J,1,1,1,2,1,2,1,1,1,1,4,5,6,6,4,6,5,6,5,3,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,6,6,4,3,2,5,5,5,3,5,7,7,7,7,7,7,6,6,7,7,1,1,1,1,1,1,1,1,1,2,3,3,5,6,4,6,5,6,3,3,3,4,7,6,7,7,7,7,7,7,7,3,male,55 - 64,White,Yes,High school graduate
R_26aLGjXiUpRaYse,4,3,5,5,5,3,4,5,5,4,6,5,6,5,5,5,4,5,3,4,4,6,4,5,5,5,5,5,5,3,4,4,4,5,4,4,5,4,4,5,4,5,4,5,5,5,5,4,5,4,4,4,4,3,5,5,5,5,5,4,4,4,4,4,5,3,4,4,4,4,4,6,4,4,5,4,5,4,4,4,4,5,4,4,4,4,5,4,4,4,5,4,male,25 - 34,White,Yes,4 year degree
R_6ukUgUkx09PBC1z,3,1,1,2,1,1,2,2,1,1,4,4,4,6,4,4,4,4,4,4,7,7,7,7,6,7,7,6,7,7,1,1,1,1,1,1,7,2,1,1,7,4,4,4,4,4,3,3,4,4,7,7,7,7,7,7,1,7,7,7,1,1,1,1,1,1,1,1,1,3,4,4,4,2,7,4,4,4,2,1,4,4,7,7,7,7,7,7,7,7,7,7,female,45 - 54,White,Yes,Professional degree
R_4T7mw2joUmMUQW5,1,1,1,1,1,1,1,1,1,1,6,2,4,6,2,2,3,3,6,2,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,6,2,4,1,1,6,1,1,3,2,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,7,1,2,5,7,4,2,3,2,1,3,3,7,7,7,7,7,7,7,7,7,7,male,55 - 64,White,Yes,High school graduate
R_3O09Ei9MCEqHt3I,1,1,1,1,1,1,1,1,1,1,5,5,4,6,4,5,5,6,6,3,7,7,7,7,7,7,7,7,7,7,1,2,1,1,1,1,1,1,1,1,7,3,4,5,6,6,2,3,4,4,7,7,7,7,7,7,6,7,7,7,1,1,1,1,1,1,1,2,2,2,7,5,7,7,7,6,7,3,3,3,4,4,7,6,7,7,7,7,7,7,7,7,male,35 - 44,White,Yes,High school graduate
R_u35uacQBELSmGTn,2,2,1,2,1,2,1,2,2,1,4,5,4,5,4,2,2,6,6,4,7,7,7,7,7,7,7,6,7,7,1,2,2,1,4,1,2,1,1,2,2,2,2,5,6,2,2,2,3,4,7,6,7,7,4,7,7,7,6,7,1,1,1,2,1,1,2,1,1,2,4,4,6,5,6,2,5,2,1,3,2,1,7,2,7,7,7,7,7,7,6,7,male,25 - 34,American Indian or Alaska Native,Yes,High school graduate
R_1dhJlmSi61XfGvL,2,2,2,1,1,1,1,1,1,2,4,6,5,5,4,3,5,5,5,3,7,7,7,6,7,6,7,6,7,7,1,2,1,2,3,2,2,2,2,2,5,3,4,3,6,3,5,2,6,3,7,6,7,6,6,7,5,6,7,7,1,1,1,1,1,1,1,2,2,1,6,3,6,4,7,6,3,5,2,1,5,3,7,6,7,7,7,6,7,7,6,6,male,25 - 34,White,Yes,4 year degree
R_2xyK2ptbZSHsXj6,1,1,1,1,1,1,1,1,1,1,5,4,7,7,1,5,1,6,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,3,4,6,4,1,4,1,1,1,5,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,3,4,7,4,1,1,7,1,4,1,7,1,7,7,7,7,7,7,7,7,7,7,female,25 - 34,White,Yes,High school graduate
R_wZEhGiWLCn2MJsB,2,1,1,1,1,1,1,1,1,1,4,4,6,6,6,5,4,6,7,6,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,4,2,4,5,4,4,1,1,4,4,7,7,7,7,7,7,5,7,7,7,1,1,1,1,1,1,1,1,1,1,4,1,4,4,7,4,3,2,1,2,4,3,7,7,7,7,7,7,7,7,7,7,male,35 - 44,White,Yes,4 year degree
R_2EufChcvUqWDQBf,2,4,5,5,5,5,4,4,5,5,4,4,4,3,4,4,4,4,5,4,2,3,2,3,3,5,3,2,4,2,5,5,5,5,5,4,5,5,5,5,4,6,6,5,3,5,5,5,3,4,3,3,3,3,3,3,4,3,3,3,6,6,6,5,5,6,6,6,5,5,4,6,5,6,4,6,6,5,6,6,4,5,2,2,2,3,2,2,2,2,2,3,male,25 - 34,White,Yes,High school graduate
R_3PdZpRCwNLPviHP,1,1,1,1,1,1,1,1,1,1,4,6,4,5,6,4,5,7,6,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,7,3,4,3,5,7,2,2,4,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,4,2,5,5,7,5,5,3,3,3,5,1,7,7,7,7,7,7,7,7,7,7,male,25 - 34,American Indian or Alaska Native,Yes,Some college
R_1n1G4LYrHwFIEN3,1,1,1,1,2,1,1,1,1,1,5,4,4,4,4,4,4,5,5,1,7,6,7,4,7,7,7,6,7,6,2,1,1,1,2,1,1,1,1,1,4,3,4,3,4,5,2,2,5,3,7,6,7,6,5,6,7,7,6,7,1,1,1,1,1,2,2,1,2,2,4,3,5,5,6,5,4,3,3,2,5,3,7,7,7,7,6,7,7,7,6,7,female,35 - 44,White,Yes,4 year degree
R_1rHr1klse2qfn7M,1,1,1,2,1,1,1,1,1,1,3,3,5,5,2,4,3,3,4,2,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,3,2,3,4,4,4,2,2,4,4,7,7,7,7,7,7,4,7,7,7,1,1,1,1,1,1,1,1,1,1,2,1,4,3,6,3,3,3,2,2,4,3,7,7,7,7,7,7,7,7,7,7,female,35 - 44,White,Yes,4 year degree
R_2CNi8KJJHUyXyZY,1,1,1,1,2,1,1,1,2,1,4,5,4,5,3,3,4,6,6,3,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,3,1,1,1,1,5,3,1,3,5,3,3,2,4,4,7,6,7,7,7,7,7,6,7,7,1,1,1,1,1,1,1,1,1,1,4,5,6,5,6,6,4,3,5,1,5,1,7,7,7,7,7,7,7,7,7,7,female,18 - 24,White,Yes,4 year degree
R_2qlYbLHgatjn6nN,1,1,1,1,1,1,1,1,1,1,7,7,4,7,7,6,1,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,7,5,2,1,1,1,7,1,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,7,1,7,7,1,7,7,4,1,1,5,1,7,7,7,7,7,7,7,7,7,7,N/A,35 - 44,White,Yes,High school graduate
R_2PvYHUDuMpuC1AV,1,1,1,1,1,1,1,1,1,1,4,4,3,4,3,3,5,4,4,4,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,7,2,3,3,4,5,1,1,6,4,7,7,7,7,7,7,6,7,7,7,1,1,1,1,1,1,1,1,1,1,6,2,7,3,3,7,3,3,3,1,5,2,7,7,7,7,7,7,7,7,7,7,male,25 - 34,White,Yes,4 year degree
R_2yfpb3vv0GxsVTp,1,1,1,1,1,1,1,1,1,1,4,7,4,7,7,4,1,4,7,7,7,7,7,7,7,7,7,7,7,7,1,4,1,1,1,1,1,4,1,1,7,4,1,4,4,1,4,4,4,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,7,1,7,7,7,4,4,4,4,1,4,1,7,7,7,7,7,7,7,7,7,7,male,18 - 24,White,Yes,4 year degree
R_3CDehBtpQ41E6Sm,2,1,1,2,1,2,1,2,1,3,4,5,4,4,3,5,4,4,6,5,7,6,6,7,7,7,7,7,7,7,3,1,1,1,1,1,1,1,1,1,5,5,4,3,4,3,4,5,5,4,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,5,5,3,5,3,7,4,3,4,5,2,4,3,6,7,7,7,7,7,7,7,7,7,male,25 - 34,White,No,High school graduate
R_9RG8WEzFZiFqq2Z,1,1,1,1,1,1,1,1,1,1,5,5,4,5,4,5,4,4,6,4,7,7,7,1,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,6,1,4,7,6,4,1,2,5,4,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,6,2,6,5,5,6,4,1,1,2,4,1,7,7,7,7,7,7,7,7,7,7,female,25 - 34,Black or African American,Yes,4 year degree
R_1DFRZmXRTjklbcq,1,1,1,1,1,1,1,1,1,1,4,4,5,5,4,4,4,7,7,5,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,4,1,3,4,4,4,1,1,4,4,7,7,7,7,7,7,6,7,7,7,1,1,1,1,1,1,1,1,1,1,6,2,5,6,7,4,4,1,2,4,4,3,7,7,7,7,7,7,7,7,7,7,male,25 - 34,White,Yes,4 year degree
R_PZLCUqUTQLCQdZ7,1,1,1,2,1,1,1,1,1,1,5,3,7,4,3,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,6,3,4,6,6,5,2,1,3,4,7,7,7,6,7,7,7,6,7,7,1,1,1,2,1,1,1,1,1,3,6,3,4,3,7,6,5,2,2,3,4,3,7,7,7,7,7,7,7,7,7,7,male,35 - 44,White,Yes,High school graduate
R_2v2JYBw56fSDsPg,1,1,1,1,1,1,1,1,1,1,4,4,4,7,7,4,4,6,5,6,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,4,3,4,5,4,3,1,1,2,4,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,7,1,6,3,7,2,7,1,1,1,4,1,7,7,7,7,7,7,7,7,7,7,male,18 - 24,White&Black or African American,Yes,High school graduate
R_2AT0BYnyWA8HjvZ,1,1,1,1,1,1,1,1,1,1,4,4,4,7,6,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,4,3,1,5,5,4,1,1,4,4,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,3,4,2,7,7,2,4,5,1,5,3,4,3,7,7,7,7,7,7,7,7,7,7,female,25 - 34,White,Yes,Some college
R_2cvK0jh4YRETmUP,1,1,1,1,1,1,1,1,1,1,4,3,5,5,1,4,3,6,6,4,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,5,4,4,6,4,5,2,4,6,3,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,4,3,1,4,6,7,6,2,3,1,1,6,4,7,7,7,7,7,7,7,7,7,7,N/A,35 - 44,Black or African American,Yes,4 year degree
R_3eazS0SwCOH8rOs,1,1,1,1,1,1,1,1,1,1,3,3,4,5,4,6,4,5,7,5,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,5,3,1,4,4,7,7,7,7,7,7,6,7,7,7,1,1,1,1,1,1,1,1,1,1,4,3,4,4,7,6,2,4,1,2,4,2,7,7,7,7,7,7,7,7,7,7,male,35 - 44,White,Yes,Some college
R_1DouKDzT2EuHrvf,1,1,1,1,1,1,1,1,1,1,4,4,7,7,7,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,4,1,7,4,7,1,1,7,6,4,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,4,4,7,7,7,7,4,7,1,1,4,1,7,7,7,7,7,7,7,7,7,7,female,35 - 44,White,Yes,4 year degree
R_Dq3i92uzevkaTD3,1,1,1,1,1,1,1,1,1,1,4,4,4,6,6,4,6,5,6,5,7,7,7,6,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,4,3,4,1,4,4,2,1,3,4,7,7,7,6,7,7,6,7,7,7,1,1,1,1,1,1,1,1,1,1,4,3,4,4,7,5,4,4,3,2,4,1,7,7,7,7,7,7,7,7,7,7,female,45 - 54,White,Yes,4 year degree
R_3QDUeZ1bmEQxpFA,1,1,1,1,1,1,1,1,1,1,4,3,5,6,5,5,1,4,7,1,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,5,4,5,5,6,1,2,1,5,2,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,6,1,6,2,7,6,2,1,2,1,5,1,7,7,7,7,7,7,7,7,7,7,male,25 - 34,White,Yes,High school graduate
R_AoHil6yC1Q44yZP,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,1,4,4,1,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,3,4,4,1,5,4,3,3,4,4,7,7,7,7,7,7,4,7,7,7,1,1,1,1,1,1,1,1,1,1,6,1,7,3,7,6,3,3,1,1,4,4,7,7,7,7,7,7,7,7,7,7,male,55 - 64,White,Yes,Some college
R_3KZ0NKjJl0sRhqS,1,1,1,1,1,1,1,1,2,1,4,4,5,6,1,4,1,5,6,7,7,7,7,7,7,6,7,7,7,6,1,1,1,1,1,1,1,1,1,1,5,2,2,5,2,3,3,3,7,4,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,3,1,7,7,5,4,2,1,1,1,4,1,7,7,7,7,7,7,7,7,7,7,female,25 - 34,Black or African American,Yes,4 year degree
R_2v5L8PMI5HBiret,2,1,1,1,1,1,1,1,1,1,4,4,5,5,4,5,4,5,6,4,7,7,7,7,7,7,7,7,7,6,1,1,1,1,1,1,1,1,1,1,2,5,4,6,5,5,5,5,5,4,7,7,7,7,7,7,6,5,7,7,1,2,1,1,1,1,1,1,1,2,4,2,5,3,7,4,5,5,5,3,5,1,7,7,7,7,7,7,7,7,7,7,female,35 - 44,White,Yes,4 year degree
R_2TY96H7SMMwEsbL,1,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,1,1,5,4,7,7,7,7,7,7,6,7,7,7,1,1,1,1,1,1,1,1,1,1,4,4,4,4,7,4,4,4,4,4,4,4,6,7,7,7,7,7,7,7,7,7,female,25 - 34,White,Yes,4 year degree
R_2DTC3YLIRohxoI4,1,1,1,1,1,1,1,1,1,1,5,3,4,6,2,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,3,2,4,1,2,5,1,1,5,4,7,7,7,7,7,7,6,7,7,7,1,1,1,1,1,1,1,1,1,1,6,2,5,5,7,5,4,3,3,4,5,2,6,7,7,7,7,7,7,7,7,7,female,25 - 34,White,Yes,2 year degree
R_2azNu3REp2vHZK7,1,1,1,1,1,1,1,1,1,1,5,2,1,6,1,7,2,2,7,1,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,5,1,7,1,1,1,1,1,4,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,female,45 - 54,Black or African American,Yes,2 year degree
R_1pxq50spfeQ1Q71,1,1,1,1,1,1,1,1,1,1,2,5,6,7,7,6,4,6,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,4,1,2,4,7,1,1,1,7,1,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,7,5,6,7,7,4,7,3,5,1,4,1,7,7,7,7,7,7,7,7,7,7,female,25 - 34,White,Yes,Some college
R_cPbzsMWMceMW3IZ,1,1,1,1,1,1,1,1,1,1,3,3,5,5,3,5,6,5,3,6,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,5,3,3,3,5,5,2,3,6,5,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,2,5,2,5,5,6,5,3,3,3,2,3,2,7,7,7,7,7,7,7,7,7,7,female,25 - 34,White,Yes,4 year degree
